TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Dryer.Nir.SetPointPower,SetPoint Power,Referencia Potencia,NoValue,NoValue,,,
Dryer.Nir.Module1,Module 1,Modulo 1,NoValue,NoValue,,,
Dryer.Nir.Module2,Module 2,Modulo 2,NoValue,NoValue,,,
Dryer.Nir.EnableModule,Enable Module,Habilitar Modulo,NoValue,NoValue,,,
Dryer.Nir.Adjust,Power Adjust,Ajuste Potencia,NoValue,NoValue,,,
Dryer.Nir.Power,Power,Potencia,NoValue,NoValue,,,
Dryer.Nir.PowerStart,Power Start,Potencia Inicial,NoValue,NoValue,,,
Dryer.Nir.PowerEnd,Power End,Potencia Final,NoValue,NoValue,,,
Dryer.Nir.SpeedStart,Speed Start,Velocidad Inicial,NoValue,NoValue,,,
Dryer.Nir.SpeedEnd,Speed End,Velocidad Final,NoValue,NoValue,,,
Dryer.Nir.AirTemperature,Air Temperature,Temperatura Aire,NoValue,NoValue,,,
Dryer.Nir.MediaTemperature,Media Temperature,Temperatura Sustrato,NoValue,NoValue,,,
Dryer.Nir.WebWidth,Drying width,Ancho secado,NoValue,NoValue,,,
Dryer.Nir.DocWidth,Dry with image width,Secado con ancho de imagen,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Alamp.EnableLamp,Enable Lamp,Habilitar Lámpara,NoValue,NoValue,,,
Dryer.Alamp.SerialNumber,Serial Number,Número Serie,NoValue,NoValue,,,
Dryer.Alamp.Pin,Pin,Pin,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Diag.CommsDevices,Comms Devices,Dispositivos Comunicacion,NoValue,NoValue,,,
Dryer.Diag.ResetSwitch,Reset Switch,Reset Switch,NoValue,NoValue,,,
Dryer.Diag.ResetHub,Reset Hub,Reset Hub,NoValue,NoValue,,,
Dryer.Diag.ResetFanBreaker,Reset Fan Breaker,Reset Proteccion Ventiladores,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Blow.DutyCycleSetPoint,DutyCycle SetPoint,Consigna Velocidad,NoValue,NoValue,,,
Dryer.Blow.PressureSetPoint,Pressure SetPoint,Consigna Presion,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Belt.Perimeter,Perimeter,Perímetro,NoValue,NoValue,,,
Dryer.Belt.GearBox,GearBox,Reductora,NoValue,NoValue,,,
Dryer.Belt.Speed,Speed,Velocidad,NoValue,NoValue,,,
Dryer.Belt.Torque,Torque,Par,NoValue,NoValue,,,
Dryer.Belt.Error,Error,Error,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Page.Home,Home,Inicio,NoValue,NoValue,,,
Page.Diagnosis,Diagnosis,Diagnostico,NoValue,NoValue,,,
